# ID	Category
PPE1	repetitive
PE_PGRS1	repetitive
PE_PGRS2	repetitive
PE1	repetitive
PE2	repetitive
PE3	repetitive
PE4	repetitive
PPE2	repetitive
PE_PGRS3b	repetitive
PE_PGRS3a	repetitive
PE_PGRS3	repetitive
PE_PGRS4	repetitive
PPE3	repetitive
PE5	repetitive
PPE4	repetitive
PE_PGRS5	repetitive
PPE5	repetitive
PPE6	repetitive
PE6	repetitive
PPE8	repetitive
PPE9	repetitive
PPE10	repetitive
PPE11	repetitive
PE_PGRS6a	repetitive
PE_PGRS6b	repetitive
PE_PGRS7	repetitive
PE_PGRS8	repetitive
PE_PGRS9	repetitive
PE_PGRS10	repetitive
PE_PGRS11	repetitive
PPE12	repetitive
PE_PGRS12	repetitive
PE_PGRS13	repetitive
PE_PGRS14	repetitive
PE_PGRS15	repetitive
PPE13	repetitive
PPE14	repetitive
PE7	repetitive
PE_PGRS16	repetitive
PE_PGRS17	repetitive
PE_PGRS18	repetitive
PPE15	repetitive
PE8	repetitive
PE_PGRS19	repetitive
PE_PGRS20	repetitive
PE_PGRS21	repetitive
PE9	repetitive
PE10	repetitive
PE_PGRS22	repetitive
PPE16	repetitive
PPE17b	repetitive
PPE17a	repetitive
PE12	repetitive
PE13	repetitive
PPE18	repetitive
PE14	repetitive
PE_PGRS23	repetitive
PE_PGRS24	repetitive
PPE19	repetitive
PE15	repetitive
PPE20	repetitive
PE_PGRS25	repetitive
PE16	repetitive
PE_PGRS26	repetitive
PE_PGRS27	repetitive
PE_PGRS28	repetitive
PE_PGRS29	repetitive
PPE21	repetitive
PE17	repetitive
PE_PGRS30	repetitive
PPE22	repetitive
PPE23	repetitive
PPE24	repetitive
PE_PGRS31	repetitive
PPE25	repetitive
PE18	repetitive
PPE26	repetitive
PPE27	repetitive
PE19	repetitive
PPE28	repetitive
PPE29	repetitive
PPE30	repetitive
PE_PGRS32b	repetitive
PE_PGRS32a	repetitive
PE20	repetitive
PPE31	repetitive
PPE32	repetitive
