# ID	name	start	stop	frame	product description function	cogcats	status_region	status_function	type	region_number	function_number
PPE1	PPE1	105360	106751	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS1	PE_PGRS1	131420	132910	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS2	PE_PGRS2	149571	151187	1	PE_family of proteins	-	-	-	Gene	5	6
PE1	PE1	177733	179499	1	PE_family of proteins	-	-	-	Gene	5	6
PE2	PE2	179509	181086	1	PE_family of proteins	-	-	-	Gene	5	6
PE3	PE3	187623	189029	1	PE_family of proteins	-	-	-	Gene	5	6
PE4	PE4	189121	190629	1	PE_family of proteins	-	-	-	Gene	5	6
PPE2	PPE2	306202	307872	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS3b	PE_PGRS3b	331762	332004	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS3a	PE_PGRS3a	331827	334433	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS3	PE_PGRS3	334697	337330	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS4	PE_PGRS4	337580	340075	1	PE_family of proteins	-	-	-	Gene	5	6
PPE3	PPE3	340366	341976	1	PE_family of proteins	-	-	-	Gene	5	6
PE5	PE5	350626	350934	1	PE_family of proteins	-	-	-	Gene	5	6
PPE4	PPE4	350937	352478	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS5	PE_PGRS5	362336	364156	1	PE_family of proteins	-	-	-	Gene	5	6
PPE5	PPE5	367197	370640	1	PE_family of proteins	-	-	-	Gene	5	6
PPE6	PPE6	370784	376741	1	PE_family of proteins	-	-	-	Gene	5	6
PE6	PE6	400565	401080	1	PE_family of proteins	-	-	-	Gene	5	6
PPE8	PPE8	425173	435696	1	PE_family of proteins	-	-	-	Gene	5	6
PPE9	PPE9	467689	469020	1	PE_family of proteins	-	-	-	Gene	5	6
PPE10	PPE10	531770	533209	1	PE_family of proteins	-	-	-	Gene	5	6
PPE11	PPE11	544193	545749	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS6a	PE_PGRS6a	623943	625688	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS6b	PE_PGRS6b	625594	625821	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS7	PE_PGRS7	673239	677159	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS8	PE_PGRS8	834814	835332	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS9	PE_PGRS9	837525	839918	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS10	PE_PGRS10	840317	843046	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS11	PE_PGRS11	848349	850103	1	PE_family of proteins	-	-	-	Gene	5	6
PPE12	PPE12	850293	852230	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS12	PE_PGRS12	925781	926194	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS13	PE_PGRS13	926191	928512	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS14	PE_PGRS14	928739	931234	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS15	PE_PGRS15	968884	970710	1	PE_family of proteins	-	-	-	Gene	5	6
PPE13	PPE13	977352	978668	1	PE_family of proteins	-	-	-	Gene	5	6
PPE14	PPE14	1020524	1021795	1	PE_family of proteins	-	-	-	Gene	5	6
PE7	PE7	1021810	1022109	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS16	PE_PGRS16	1090840	1093611	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS17	PE_PGRS17	1093828	1094835	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS18	PE_PGRS18	1095557	1096930	1	PE_family of proteins	-	-	-	Gene	5	6
PPE15	PPE15	1161772	1162947	1	PE_family of proteins	-	-	-	Gene	5	6
PE8	PE8	1163024	1163851	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS19	PE_PGRS19	1188897	1190912	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS20	PE_PGRS20	1191245	1193536	1	PE_family of proteins	-	-	-	Gene	5	6
